,0
98,"#meditacao, #mindfulness, #cuidado, #autocuidado, #saudemental"
99,"#Saudemental, #Meditação, #Vida"
100,"#saudemental, #emagrecer, #insatisfacaocorpo"
101,"#novoshábitos, #produtividade, #flylady, #saudemental, #apdacycy"
102,"#Brasil, #governofederal, #Saude, #SaudeMental"
103,"#AmizadeSincera, #ForaEmbust, #BemEstar, #SaúdeMental, #SolitudeNãoSolidão, #SóParaOsFortes, #MinhaMaePassouPimenta, #Aceita, #Atura, #Surta"
104,"#saudemental, #naluta, #caminhada"
105,"#terapia, #saudemental, #amorproprio, #Psicologo"
106,"#saudemental, #Psicologia"
107,"#psicologia, #saúdemental, #forçaspoliciais, #4jigaproducoes"
108,"#Saude, #saudemental"
109,"#oremos, #SaúdeMental"
110,"#COVID19, #coronavirus, #saudemental"
111,"#depressao, #saudemental, #deus"
112,"#conflitosfamiliares, #saúdemental, #estresse, #ansiedade, #distanciamentoemocional"
113,"#Psicologo, #Saúde, #SUS, #SaudeMental"
114,"#COVID19, #saudemental, #forabolsonaro, #genocida"
115,"#meditacao, #humor, #moods, #quarentena, #saudemental"
116,"#prevenção, #saudemental, #teresina"
117,"#saudemental, #terapia, #Psicologia"
118,"#profissionaisdasaude, #saudemental, #covid, #suicidio"
119,"#avidadelas, #saudemental"
120,#saúdeMental
121,"#curadoscovid19, #vivaavida, #saudemental"
122,"#animiagencia, #saudemental, #quarentena, #isolamentosocial, #covid19, #boasenergias, #dicas, #positividade, #trabalhodojucasj"
123,"#SaúdePrefSP, #Saúde, #SaudeMental, #SaudeMentalImporta, #BrincarFazBem, #BrincareAprender"
124,"#bbb, #detox, #saudemental"
125,"#psicoterpiaonline, #terapiabreve, #terapiadomiciliare, #saudemental, #saudeemocional, #Psicologia"
126,"#saudemental, #covid19pt, #possoestarenganado"
127,"#foracaio, #saudemental"
128,"#bemestar, #saude, #saudemental, #saudeemocional, #pessoas, #pessoasdobem, #façaporvocê, #facaobem, #baraodecocais, #belohorizonte, #mg"
129,"#saudemental, #vida, #TheVoiceMais"
130,"#autoconhecimento, #despertar, #consciencia, #expansaodaconsciencia, #espiritualidade, #sabedoria, #equilibrio, #buscainterior, #despertarespiritual, #vidaabundante, #abundancia, #inteligenciaemocional, #reflexion, #saudemental, #autocuidado"
131,"#DiaDaMentira, #BBB21, #saudemental"
132,"#gratidão, #energia, #ancestralidade, #saudemental, #reflexao, #autocuidado"
133,"#SaudeMental, #amorpropio, #cacaunarra, #pandemia"
134,"#NeuryBotega, #SaudeMental"
135,"#Mestrado, #Doutorado, #SaudeMental, #Posgraduação"
136,"#suicidio, #lockdown, #LockdownNao, #Bahia, #Salvador, #saudemental"
137,"#saudemental, #psiromulo, #bomdia"
138,"#ansiedade, #depressão, #tag, #abril, #saudemental, #resiliencia"
139,"#saudemental, #depressão"
140,"#BBB21, #Quarentena, #SaudeMental"
141,"#BBBB21, #SaudeMental"
142,"#BBBB21, #sessaodeterapia, #saudemental"
143,"#BBB21, #psicoterapia, #SaudeMental"
144,"#bipomarço, #BIPOLARIDADE, #SaudeMental"
145,"#maisapoio, #menospressao, #respeiteolimitedosoutros, #saudemental"
146,"#Filosofia, #SaudeMental, #Cognição"
147,"#pandemia, #COVID19, #SaudeMental"
148,"#ipiaget, #ensinosuperior, #nutrição, #saúdemental"
149,"#saudemental, #psico"
150,"#autoajuda, #Ajuda, #saudemental, #vivendobem, #força, #seguindoemfrente"
151,"#COVID19, #GolpeDeEstado, #BolsonaroGenocida, #negacionismo, #Lockdown, #30demarco, #SaudeMental, #pânico, #helpbrasil, #300MILBRASILEIROS"
152,"#homofobia, #preconceito, #LGBTQI, #SaudeMental, #falsidade, #LGBT"
153,"#psico, #terapia, #sdv, #SaudeMental"
154,"#bbb21, #saudemental, #precisatratar"
155,"#saudemental, #bbb, #bbb21"
156,"#enem, #Enem2020, #inep, #notasdoenem, #inepforadoar, #planosdesaude, #SaudeMental"
157,"#pandemia2021, #covid19, #useMascara, #laveasmaos, #eviteaglomerações, #Distanciamentosocial, #estresse, #cansaço, #depressão, #ansiedade, #saudemental, #autocuidado, #amorproprio, #equilíbrioemocional"
158,"#saudade, #vida, #SaudeMental"
159,"#amor, #SaudeMental, #bemzen"
160,"#SaudeMental, #Brasil, #depressao, #COVID19, #HIV"
161,"#valorização, #servidores, #SaudeMental, #Pandemia"
162,"#SaudeMental, #DireitosHumanos"
163,"#PolíticasPúblicas, #Saúde, #SaúdeMental, #PM"
164,"#Democracia, #pandemia, #saudemental"
165,"#Salvador, #PM, #SaúdeMental, #segurança, #minions"
166,"#vacinas, #saúdemental"
167,"#SaudeMental, #Psicologia"
168,"#Riodejaneiro, #coronavirus, #SegundaDetremuraSDV, #Segundafeira, #revolta, #VacinaParaTodos, #BolsonaroGenocida, #ForaBolsonaro, #VacinaParaTodosJa, #SaudeMental"
169,"#PsicologiaClinica, #SaudeMental, #freud, #psicanalise, #psi"
170,"#saúdemental, #corporações"
171,"#SaudeMental, #forasarahcobra, #FORASARA"
172,"#tt, #Twitter, #SaudeMental"
173,"#sardinhadf, #df, #saudemental, #quarentena"
174,"#BBB221, #saudemental"
175,"#ansiedade, #saudemental, #bbb21"
176,"#DigaNaoADepressao, #PecaAjuda, #TristeNao, #SaudeMental"
177,"#StopAAPIHate, #Ajuda, #SaudeMental"
178,"#bomdia, #brasil, #música, #sol, #sabadodetremurasdv, #rock, #saúdemental, #mente"
179,"#SaudeMental, #pqp"
180,"#luto, #COVID19, #SaúdeMental"
181,"#saudemental, #saudavel, #sobrevivencia"
182,"#SaudeMental, #MentalHealthMatters"
183,"#fibromialgia, #SaudeMental, #Saude"
184,"#QuintaDetremuraSDV, #QuintaLigaDaJusticaSDV, #SaudeMental"
185,"#liberdade, #instagram, #SaudeMental"
186,"#Meditação, #cingulo, #saudemental"
187,"#saudemental, #facaterapia"
188,"#bookstagram, #homofobico, #saúdemental, #JaneiroBranco"
189,"#psicoterapia, #saudemental, #autoestima, #Psicología"
190,"#BBB21, #saudemental, #queroMeAlienarComQualidade, #vaiqueétua"
191,"#SaúdeMental, #Paz"
192,"#pandemia, #saudemental, #Psicologia, #saiajustanognt, #sessaodeterapia, #autocuidado"
193,"#BBB21, #CARLADIAZ, #SaudeMental"
194,"#VacinaJa, #SaudeMental"
195,"#psiquiatra, #saudemental, #depressao, #ansiedade, #psicologia"
196,"#Psicologia, #SaudeMental"
197,"#saúdemental, #empatia"
198,"#psicologia, #estudantedepsi, #SaudeMental"
199,"#SaudeMental, #coronavirus, #fiqueemcasa"
200,"#goodvibes, #quarentena, #think, #lds, #pensamentos, #MentalHealthMatters, #Psicologia, #saudemental, #mente, #coaching, #ficaadica"
201,"#SóOqueQuero, #saudeMental, #reciprocidade, #amorpropio, #paixão, #vidaquesegue_cr"
202,"#saudemental, #pandemia, #covid19"
203,"#juliette, #BBBB21, #sarahtraira, #SaudeMental, #falsidade, #jogodadiscordia"
204,"#força, #saúdemental, #socorro"
205,"#quarentena, #lockdown, #esperança, #Brasil, #SaudeMental"
206,"#redessociais, #manugavassi, #saudemental"
207,"#saudemental, #live, #amorpropio"
208,"#liberdade, #seliberta, #saudemental, #toxico"
209,"#pandemia, #covid, #COVID19, #saudemental, #saude"
210,"#sabadou, #saudemental, #autocuidado"
211,"#empatia, #respeito, #SaudeMental"
212,"#Sextou, #saudemental, #paz"
213,"#ansiedade, #ansiedades, #naoefrescura, #ansiedadenaoefrescura, #depressao, #insonia, #dor, #tristeza, #saudemental, #abusoemocional, #abusopsicologico"
214,"#saúde, #saúdemental, #adoecimento, #pandemia"
215,"#mzhome, #saudefisica, #saudemental, #endorfina"
216,"#cuidandodemim, #saudemental, #bemestar"
217,"#sextou, #2021, #saudemental"
218,"#saudemental, #narcisista, #relacionamentotoxico"
219,"#saudemental, #psicologoemfortaelza, #psicologia, #bbb21, #redebbb, #serfeliz, #autocuidado, #AVidaDaGente, #psicoterapia, #saude"
220,"#Juventudes, #saudemental, #geraçãoz"
221,"#pandemia, #Covid_19, #gentileza, #saude, #saudemental"
222,"#SaudeMental, #Isolamento, #Pandemia, #IsolamentoSocial, #Corona, #coronavirus, #coronavirusbrasil, #COVID19, #Covid"
223,"#pensando, #saudemental"
224,"#alcool, #podcast, #usp, #saúdemental, #saúde, #prevençao"
225,"#COVID19, #vacinasim, #saúdemental, #vida, #sociedadedodesempenho"
226,"#SaudeMental, #AmorProprio"
227,"#Psicologia, #psicologa, #terapia, #SaudeMental"
228,"#SaudeMental, #BBB21"
229,"#pandemia, #COVID19, #SaudeMental, #JaEra, #covid"
230,"#mentalhealth, #saúdemental"
231,"#SaudeMental, #pessoatoxica"
232,"#SaudeMental, #Pandemia, #Covid_19"
233,"#saúdemental, #reformapsiquiatrica, #lutaantimanicomial, #defendaosus, #femirandapsol, #mandatonecessário"
234,"#cansado, #SaudeMental"
235,"#sigabodyfit, #saúdefisica, #SaudeMental, #serviçoessencial"
236,"#Saude, #SaudeMental, #Politica"
237,"#Deixair, #desapego, #saudemental"
238,"#AmorDeMae, #SaudeMental"
239,"#SaudeMental, #Covid_19, #COVID, #autocuidado, #cabofrio"
240,"#SaudeMental, #CAPS, #ConselheiroPena"
241,"#saudemental, #terapiaevida"
242,"#terapiasintegrativas, #saudemental, #autocuidado"
243,"#Saude, #SaudeMental, #dieta, #emagrecimento"
244,"#Psicologia, #psicologos, #mentesaudavel, #SaudeMental"
245,"#SaudeMental, #sororidade, #AliviandoARealidade"
246,"#Covid, #SaudeMental"
247,"#SoAcho, #tiktok, #saúdemental, #pas"
248,"#depressão, #SaudeMental"
249,"#natureza, #mundo, #Vida, #SaudeMental"
250,"#reflexao, #autocuidado, #saudemental, #autoconhecimento"
