,date,tweet,hashtags
49,2021-03-14,quero dizer a todos vocês que assistam #EuMeImporto na Netflix! Vocês irão me agradecer depois.,#EuMeImporto
50,2021-03-14,Assistam #ICareALotNetflix #EuMeimporto na @NetflixBrasil me agradeçam depois 😘,"#ICareALotNetflix, #EuMeimporto"
51,2021-03-14,"Ô FILME TERMINA COM A MARLA FALANDO ""OBRIGADA, FOI DIVERTIDO""   EU TO MUITO PUTA, MUITO PUTA  #eumeimporto",#eumeimporto
52,2021-03-14,"I care a lot, na Netflix. Que filme fodástico. Quem também já assistiu? Super recomendo ❤️ #EuMeimporto #ICareALot #ICareALotNetflix #netflixbrasil","#EuMeimporto, #ICareALot, #ICareALotNetflix, #netflixbrasil"
53,2021-03-14,"Adoro filmes que me façam torcer para os ""viloes"" #EuMeImporto #Netflix","#EuMeImporto, #Netflix"
54,2021-03-14,"Pobre BRASIL : COM ÓDIO AO PT ELEGEMOS ESSE MOSTROS QUE NOS GOVERNAM. COM ÓDIO AO VÍRUS CHINÊS E AS MEDIDAS RESTRITIVAS ESTAMOS MATANDO MAIS DE 2000 CIDADÃOS BRASILEIROS POR DIA! SERÁ QUE O BRASIL PRECISA MESMO DE TODO ESSE ÓDIO E REVOLTA??? MAIS AMOR, POR FAVOR! #eumeimporto",#eumeimporto
55,2021-03-14,Com 25 minutos eu já tô com ODIOOOOO desse filme 😡 se o final for ruim eu vou ficar puto #eumeimporto,#eumeimporto
56,2021-03-14,Acabei de assistir #EuMeimporto no @NetflixBrasil. Super recomendo,#EuMeimporto
57,2021-03-13,"O sol está a 150 milhões de Km  da Terra. Mas sinto o calor dele na minha pele.  Então também posso sentir o calor de vocês.  Distantes, porém unidos.  #doutormaravilha #equipemaravilha #trevorsproject #diganaoaosuicidio #naodesista #isolamento #saudemental #eumeimporto","#doutormaravilha, #equipemaravilha, #trevorsproject, #diganaoaosuicidio, #naodesista, #isolamento, #saudemental, #eumeimporto"
58,2021-03-13,Esses dentes de Rosamund Pike foi só pdo filme ou ela tá usando na vida real? Tá feio demais #EuMeImporto,#EuMeImporto
59,2021-03-13,#EuMeimporto filme com a menor nota que ja vi na vida,#EuMeimporto
60,2021-03-13,Aquele filme #EuMeImporto na @NetflixBrasil vale a pena ein mto bom,#EuMeImporto
61,2021-03-13,"Gente #EuMeimporto é bom demais.   O filme vai tendo mil reviravoltas até o final, tem ação, inteligência e ainda é engraçado.   TUDO",#EuMeimporto
62,2021-03-13,"@NetflixBrasil me decepcionou demais com #EuMeImporto !! De 01:27:00 até a última cena o filme é totalmente incoerente.... Sem contar que a Marla pode até ser a personagem principal, mas ô ranço.... Sinto muita pena da Rosamund Pike ter gastando seu talento com isso!",#EuMeImporto
63,2021-03-13,"#EuMeImporto é aquele filme que te prende durante o tempo todo, mas tem um final meio decepcionante. A exploração de Idosos da forma que é tratada é triste, mas a justiça acontece.",#EuMeImporto
65,2021-03-13,Marla Grayson Se fudeu no final kkkkkkkk adorei.  #EuMeimporto,#EuMeimporto
66,2021-03-13,"Hoje vimos ""Eu me importo"" da Netflix. Gostei bastante. Vi algumas pessoas reclamando que perderam 2h da vida. Achei bem bom. #netflixbrasil #eumeimporto","#netflixbrasil, #eumeimporto"
67,2021-03-12,Esse filme #eumeimporto tá me matandooooooooo nuuu,#eumeimporto
68,2021-03-12,Pelo menos a desgraçada morreu #eumeimporto,#eumeimporto
70,2021-03-12,#eumeimporto  filme tinha tudo pra ser legal mais que final bosta 🤡🤡🤡,#eumeimporto
72,2021-03-12,"mano, o final do filme pqp, n acredito #eumeimporto",#eumeimporto
75,2021-03-11,"Acabei de assistir ""Eu me importo"" infelizmente colocaram uma PÉSSIMA representação para uma protagonista feminista e LGBT, o que queriam com isso? Mais ódio? #netflix #eumeimporto","#netflix, #eumeimporto"
